PART NUMBER,RAW MATERIAL DESCRIPTION,PURPOSE,UOM,QTY,WT PER mtr,TOTAL WT,PRICE,VALUE
RD0430000021,100mm DIA EN19 ROD,,MTR,0.644,73,47.012,105,4936.26
RD0433000028,110MM DIA SS410 ROD,,MTR,0,74.4,0,118,0.00
RD0450000021,115MM DIA EN19 ROD,,MTR,0,77,0,105,0.00
RD0452000008,115MM DIA ROD SS316,,MTR,0.08,0,0,398,0.00
RD0472000008,120MM DIA ROD SS316,,MTR,0.25,0,0,398,0.00
RD0472000016,120MM DIA EN36C ROD,,MTR,0,77,0,90,0.00
RD0551000002,140MM DIA ROD SAE1045,,MTR,0.305,120.14,36.6427,83,3041.34
RD0551000010,140MM DIA ROD SAE4140,,MTR,0,120,0,76,0.00
RD0570000010,145MM DIA ROD SAE4140  TOL:  ± 1.5 MM,,MTR,1,0,0,0,
RD0630000009,160MM DIA SS316L ROD,,MTR,0,0,0,0,0
RD0669000002,170MM DIA ROD SAE1045,,MTR,0.051,177,177.75,84,14931.00
RD0669000010,170MM DIA ROD SAE4140   TOL:  ± 2MM,,MTR,0,0,0,0,
RD0700000028,18MM DIA ROD SS410,,MTR,2.31,1.38,3.1878,118,376.16
RD0708000008,18MM DIA ROD SS316,,MTR,0,1.94,0,398,0.00
RD0787000018,20MM DIA EN24 ROD,,MTR,0,2.41,0,90,0.00
,DIA 90MM SS410 ROD ,,MTR,0.69,,,118,0.00
,DIA 115MM SS410 ROD,,MTR,0.22,,,118,0.00
,DIA 10MM SS303 ROD ,,MTR,1.04,,,328,1
,DIA 90MM SS316L ROD ,,MTR,0.31,,,398,0.00
,DIA 45MM SS316 ROD ,,MTR,3.11,,,418,0.00
,DIA 50MM SS316 ROD ,,MTR,4.24,,,418,1772.32
,DIA 54MM SS316 ROD ,,MTR,3.37,,,418,0
,DIA 55MM SS316 ROD,,MTR,2.03,,,418,0
,DIA 75MM SS316 ROD ,,MTR,0.46,,,418,0.00
,DIA 100MM SAE4140 ROD,,MTR,0.11,,,76,1
,DIA 145MM SAE4140 ROD ,,MTR ,1.003,,,76,76.23
,DIA 16MM EN24 ROD ,,MTR,3.22,,,90,289.80
,DIA 90MM EN36C ROD ,,MTR,0.33,,,124,0.00
,DIA 110MM EN36C ROD ,,MTR,0.78,,,124,0.00
,DIA 125MM EN36C ROD ,,MTR,0.5,,,124,2
,DIA 110MM EN19 ROD ,,MTR,0.11,,,63,0.00
,DIA 116MM EN19 ROD,,MTR,1.5,,,63,0.00
,95 DIA OD X 40 DIA ID EN19 ROD,,MTR ,0.46,,,63,28.98
,DIA 105MM OHNS ROD ,,MTR ,0.19,,,95,0
,DIA 120MM OHNS ROD ,,MTR ,0.317,,,95,0
,DIA 120MM SAE1045 ROD ,,MTR,0.3,,,77,0.00
,DIA 70MM MS ROD ,,MTR,0.29,,,78,2
,DIA 105MM MS ROD,,MTR,0.088,,,78,6.86
,105 DIA OD X 40 DIA ID MS ROD ,,MTR,0.88,,,78,68.64
,"DIA6.4 "" ROUND PLATE PLASMA CUTTING B22788 14MM THICK PLATE",,NOS,10,,,50,500.00
,"DIA4.3 "" ROUND PLATE PLASMA CUTTING B22788 14MM THICK PLATE",,NOS,32,,,50,1600.00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,10679826.55
